"iter","Type","Policy","condition"
"1","offshore","p2_2045_high_mid_REF_high","Min Cap"
"1","offshore","p7_2045_high_low_REF_high","Min Cap"
"11","LDS","p7_2045_high_low_REF_high","Max Cap"
"13","onshore","p7_2045_high_low_REF_high","Min Cap"
"13","ZCF","p7_2045_high_low_REF_high","Min Cap"
"14","Storage","p2_2045_high_mid_REF_high","Min Cap"
"18","Clean Firm","p2_2045_high_mid_REF_high","Max Cap"
"18","Clean Firm","p7_2045_high_low_REF_high","Max Cap"
"18","onshore","p2_2045_high_mid_REF_high","Min Cap"
"22","onshore","p2_2045_high_mid_REF_high","Max Cap"
"22","ZCF","p2_2045_high_mid_REF_high","Max Cap"
"24","LDS","p2_2045_high_mid_REF_high","Max Cap"
"24","solar","p2_2045_high_mid_REF_high","Max Cap"
"24","solar","p7_2045_high_low_REF_high","Max Cap"
"24","Storage","p7_2045_high_low_REF_high","Max Cap"
"33","LDS","p7_2045_high_low_REF_high","Min Cap"
"35","solar","p7_2045_high_low_REF_high","Min Cap"
"39","Clean Firm","p2_2045_high_mid_REF_high","Min Cap"
"40","LDS","p2_2045_high_mid_REF_high","Min Cap"
"43","Storage","p2_2045_high_mid_REF_high","Max Cap"
"44","solar","p2_2045_high_mid_REF_high","Min Cap"
"47","Clean Firm","p7_2045_high_low_REF_high","Min Cap"
"47","onshore","p7_2045_high_low_REF_high","Max Cap"
"47","ZCF","p7_2045_high_low_REF_high","Max Cap"
"51","Storage","p7_2045_high_low_REF_high","Min Cap"
"8","ZCF","p2_2045_high_mid_REF_high","Min Cap"
"Base","offshore","p2_2045_high_mid_REF_high","Max Cap"
"Base","offshore","p7_2045_high_low_REF_high","Max Cap"
