"iter","Line_sel","Policy","condition"
"12",1,"p2_2045_high_mid_REF_high","Max Line Cap"
"56",1,"p7_2045_high_low_REF_high","Max Line Cap"
"23",2,"p2_2045_high_mid_REF_high","Max Line Cap"
"28",2,"p7_2045_high_low_REF_high","Max Line Cap"
"34",3,"p2_2045_high_mid_REF_high","Max Line Cap"
"46",3,"p7_2045_high_low_REF_high","Max Line Cap"
"34",4,"p2_2045_high_mid_REF_high","Max Line Cap"
"56",4,"p7_2045_high_low_REF_high","Max Line Cap"
"41",5,"p2_2045_high_mid_REF_high","Max Line Cap"
"5",5,"p7_2045_high_low_REF_high","Max Line Cap"
"12",6,"p2_2045_high_mid_REF_high","Max Line Cap"
"12",6,"p7_2045_high_low_REF_high","Max Line Cap"
"26",7,"p2_2045_high_mid_REF_high","Max Line Cap"
"17",7,"p7_2045_high_low_REF_high","Max Line Cap"
"19",8,"p2_2045_high_mid_REF_high","Max Line Cap"
"1",8,"p7_2045_high_low_REF_high","Max Line Cap"
"11",9,"p2_2045_high_mid_REF_high","Max Line Cap"
"11",9,"p7_2045_high_low_REF_high","Max Line Cap"
"19",10,"p2_2045_high_mid_REF_high","Max Line Cap"
"2",10,"p7_2045_high_low_REF_high","Max Line Cap"
"19",1,"p2_2045_high_mid_REF_high","Min Line Cap"
"11",1,"p7_2045_high_low_REF_high","Min Line Cap"
"22",2,"p2_2045_high_mid_REF_high","Min Line Cap"
"11",2,"p7_2045_high_low_REF_high","Min Line Cap"
"11",3,"p2_2045_high_mid_REF_high","Min Line Cap"
"11",3,"p7_2045_high_low_REF_high","Min Line Cap"
"11",4,"p2_2045_high_mid_REF_high","Min Line Cap"
"11",4,"p7_2045_high_low_REF_high","Min Line Cap"
"21",5,"p2_2045_high_mid_REF_high","Min Line Cap"
"2",5,"p7_2045_high_low_REF_high","Min Line Cap"
"21",6,"p2_2045_high_mid_REF_high","Min Line Cap"
"11",6,"p7_2045_high_low_REF_high","Min Line Cap"
"13",7,"p2_2045_high_mid_REF_high","Min Line Cap"
"13",7,"p7_2045_high_low_REF_high","Min Line Cap"
"45",8,"p2_2045_high_mid_REF_high","Min Line Cap"
"11",8,"p7_2045_high_low_REF_high","Min Line Cap"
"48",9,"p2_2045_high_mid_REF_high","Min Line Cap"
"4",9,"p7_2045_high_low_REF_high","Min Line Cap"
"7",10,"p2_2045_high_mid_REF_high","Min Line Cap"
"24",10,"p7_2045_high_low_REF_high","Min Line Cap"
